Questions,Answers
what is anthrax  ,"Anthrax, a highly infectious and fatal disease of cattles, is caused by a relatively large spore-forming rectangular shaped bacterium called Bacillus anthracis. This bacteria spores remain viable for many years in soil, water and animal hides and products."
what are the symptoms of anthrax ,"Sudden death (often within 2 or 3 hours of being apparently normal) is by far the most common sign, animals may show trembling, a high temperature, Difficulty breathing, collapse and convulsions before death. This usually occurs over a period of 24 hours; After death blood may not clot, resulting in a small amount of bloody discharge from the nose, mouth and other openings"
what can be the possible solutions for anthrax ,"Due to the acute nature of the disease resulting in sudden death, treatment is usually not possible in animals even though anthrax bacilli are clines. Treatment is of use in cases showing sub-acute form of the disease. In most cases, early treatment can cure anthrax. The cutaneous (skin) form of anthrax can be treated with common antibiotics such as penicillin, tetracycline, erythromycin, and ciprofloxacin (Cipro)."
which is the causal organism of anthrax , It is a bacterial disease caused  by Bacillus anthracis
how can i prevent my cattle from anthrax ,"Prevention of anthrax in animals is aided by active immunization. The organism is susceptible to penicillin-G, tetracyclines, erythromycin and chloramphenicol."
my cattle suddenly died and is having blood is not stopping  blood is discharging from nose and mouth  what can be the issue ,Your cattle may have been infected from anthrax. 
my cattle is having difficulty in breathing  what can happen to it ,Your cattle may be suffering from anthrax or black-leg(black-quarter) disease.
what is black leg ,"It is an acute infectious and highly fatal, bacterial disease of cattle. Buffaloes, sheep and goats are also affected. Young cattle between 6-24 months of age, in good body condition are mostly affected. It is soil-borne infection which generally occurs during rainy season. In India, the disease is sporadic (1-2 animal) in nature."
my cattle is having fever  what can be the problem ,Your cattle may be suffering from foot and mouth disease or black-leg(black-quarter) disease.
my cattle is having loss of apetite ,Your cattle may be suffering from Milk fever or black leg.
my cattle has decreased its food intake ,Your cattle may be suffering from Milk fever or black leg.
my cattle is showing the sign  of dullness and mood changes ,Your cattle may be suffering from black leg.
cattle is showing lameness in an leg and he is having hot swelling ,Your cattle may be suffering from blackleg disease and foot and mouth disease.
